Date/Time,908 [°F],908 [fpm],
1/7/26 11:08:40 AM,70.4,843,
1/7/26 11:08:41 AM,70.4,841,
1/7/26 11:08:42 AM,70.4,835,
1/7/26 11:08:43 AM,70.4,844,
1/7/26 11:08:44 AM,70.4,842,
1/7/26 11:08:45 AM,70.4,842,
1/7/26 11:08:46 AM,70.4,852,
1/7/26 11:08:47 AM,70.4,835,
1/7/26 11:08:48 AM,70.4,840,
1/7/26 11:08:49 AM,70.4,831,
1/7/26 11:08:50 AM,70.4,837,
1/7/26 11:08:51 AM,70.4,844,
1/7/26 11:08:52 AM,70.4,839,
1/7/26 11:08:53 AM,70.4,840,
1/7/26 11:08:54 AM,70.4,832,
1/7/26 11:08:55 AM,70.4,845,
1/7/26 11:08:56 AM,70.4,843,
1/7/26 11:08:57 AM,70.4,841,
1/7/26 11:08:58 AM,70.4,846,
1/7/26 11:08:59 AM,70.4,838,
1/7/26 11:09:00 AM,70.4,839,
1/7/26 11:09:01 AM,70.4,846,
1/7/26 11:09:02 AM,70.4,835,
1/7/26 11:09:03 AM,70.4,840,
1/7/26 11:09:04 AM,70.4,836,
1/7/26 11:09:05 AM,70.4,840,
1/7/26 11:09:06 AM,70.4,838,
1/7/26 11:09:07 AM,70.4,844,
1/7/26 11:09:08 AM,70.4,845,
1/7/26 11:09:09 AM,70.4,844,
1/7/26 11:09:10 AM,70.4,836,
Overall Average,70.4,840,
Minimum Total,70.4,831,
Maximum Total,70.4,852,

< General Information >
App Version,Name of Measurement Program,Date of Measurement,Comments,
30.2.7.92410,Basic View,1/7/26 11:09:13 AM,10.5 Volt exit tube length 0,455m,

< Company >
City,Country,Customer Number,E-mail address,Name,Name of Technician,Phone,Street,Fax,Website Address,
,,,,,,,,,,

< Customer >
City,Country,Customer Number,E-mail address,Name,Name of Technician,Phone,Street,
,,,,,,,,

< Instruments >
Name,Serial Number,Firmware Version,Measurement Parameters,
testo 410i,49034908,1.101.1,Temperature,
testo 410i,49034908,1.101.1,Flow Velocity,

< Measuring Site >
Name,System Number,System Type,System Manufacturer,System Serial Number,Date of Manufacture,Notes,
,,,,,,,

< Measurement Parameters >
Measuring mode,Measuring Cycle,Start Time,End,Duration,
Continuous,1 Sec,1/7/26 11:08:40 AM,1/7/26 11:09:10 AM,30 Sec,

< Graphic sections >
Name

< Images >
Name

