index,time_s,x_px,y_px,radius_px,found,mm_per_px,x_mm,y_mm,frame_file
0,0.000000,947.000,506.444,192.799,1,0.121889,0.000,0.000,frame12_0001.jpg
1,0.166667,946.500,498.415,195.349,1,0.120297,-0.060,-0.966,frame12_0002.jpg
2,0.333333,980.715,507.896,195.570,1,0.120161,4.051,0.174,frame12_0003.jpg
3,0.500000,907.220,515.746,196.732,1,0.119452,-4.752,1.111,frame12_0004.jpg
4,0.666667,1001.000,523.922,211.625,1,0.111045,5.996,1.941,frame12_0005.jpg
5,0.833333,851.000,503.500,192.874,1,0.121841,-11.697,-0.359,frame12_0006.jpg
6,1.000000,949.488,505.064,197.944,1,0.118720,0.295,-0.164,frame12_0007.jpg
7,1.166667,917.500,498.175,197.129,1,0.119211,-3.517,-0.986,frame12_0008.jpg
8,1.333333,909.000,515.534,201.606,1,0.116564,-4.429,1.060,frame12_0009.jpg
9,1.500000,947.000,520.943,196.650,1,0.119502,0.000,1.733,frame12_0010.jpg
10,1.666667,922.500,525.098,197.327,1,0.119092,-2.918,2.222,frame12_0011.jpg
11,1.833333,968.000,523.637,203.221,1,0.115638,2.428,1.988,frame12_0012.jpg
12,2.000000,905.500,504.235,195.446,1,0.120238,-4.990,-0.266,frame12_0013.jpg
13,2.166667,940.823,498.455,198.221,1,0.118554,-0.732,-0.947,frame12_0014.jpg
14,2.333333,918.894,500.181,197.187,1,0.119176,-3.350,-0.746,frame12_0015.jpg
15,2.500000,925.187,525.801,198.240,1,0.118543,-2.586,2.295,frame12_0016.jpg
16,2.666667,939.000,529.984,203.781,1,0.115320,-0.923,2.715,frame12_0017.jpg
17,2.833333,874.000,522.530,202.156,1,0.116247,-8.486,1.870,frame12_0018.jpg
18,3.000000,929.500,507.150,198.078,1,0.118640,-2.076,0.084,frame12_0019.jpg
19,3.166667,918.367,518.025,198.787,1,0.118217,-3.385,1.369,frame12_0020.jpg
20,3.333333,917.000,517.385,197.777,1,0.118821,-3.565,1.300,frame12_0021.jpg
21,3.500000,915.255,522.770,199.301,1,0.117912,-3.743,1.925,frame12_0022.jpg
22,3.666667,910.171,516.215,197.496,1,0.118990,-4.382,1.163,frame12_0023.jpg
23,3.833333,917.281,504.431,199.572,1,0.117752,-3.500,-0.237,frame12_0024.jpg
24,4.000000,930.985,505.872,198.457,1,0.118414,-1.896,-0.068,frame12_0025.jpg
25,4.166667,953.535,522.431,198.818,1,0.118199,0.772,1.890,frame12_0026.jpg
26,4.333333,962.000,524.154,202.182,1,0.116232,1.743,2.058,frame12_0027.jpg
27,4.500000,955.553,520.357,197.449,1,0.119018,1.018,1.656,frame12_0028.jpg
28,4.666667,949.500,498.016,196.488,1,0.119600,0.299,-1.008,frame12_0029.jpg
29,4.833333,942.500,491.571,194.643,1,0.120734,-0.543,-1.796,frame12_0030.jpg
30,5.000000,955.239,506.898,198.167,1,0.118587,0.977,0.054,frame12_0031.jpg
31,5.166667,967.614,525.322,202.986,1,0.115772,2.386,2.186,frame12_0032.jpg
32,5.333333,965.801,527.551,205.432,1,0.114393,2.151,2.414,frame12_0033.jpg
33,5.500000,937.000,520.063,195.594,1,0.120147,-1.201,1.636,frame12_0034.jpg
34,5.666667,919.169,493.051,196.067,1,0.119857,-3.336,-1.605,frame12_0035.jpg
35,5.833333,907.834,493.078,197.910,1,0.118741,-4.651,-1.587,frame12_0036.jpg
36,6.000000,895.223,522.281,199.704,1,0.117674,-6.093,1.864,frame12_0037.jpg
37,6.166667,904.409,532.833,206.304,1,0.113909,-4.852,3.006,frame12_0038.jpg
38,6.333333,914.655,523.423,197.921,1,0.118734,-3.840,2.016,frame12_0039.jpg
39,6.500000,919.897,502.542,192.888,1,0.121833,-3.302,-0.476,frame12_0040.jpg
40,6.666667,917.000,505.551,197.283,1,0.119118,-3.574,-0.106,frame12_0041.jpg
41,6.833333,923.611,527.156,199.495,1,0.117798,-2.755,2.440,frame12_0042.jpg
42,7.000000,926.500,530.389,202.464,1,0.116070,-2.379,2.779,frame12_0043.jpg
43,7.166667,929.200,511.200,199.986,1,0.117508,-2.092,0.559,frame12_0044.jpg
44,7.333333,935.317,498.162,199.262,1,0.117935,-1.378,-0.977,frame12_0045.jpg
45,7.500000,937.500,512.175,196.852,1,0.119379,-1.134,0.684,frame12_0046.jpg
46,7.666667,942.500,531.363,204.497,1,0.114916,-0.517,2.864,frame12_0047.jpg
47,7.833333,940.000,523.420,197.710,1,0.118861,-0.832,2.018,frame12_0048.jpg
48,8.000000,924.664,500.234,195.580,1,0.120156,-2.684,-0.746,frame12_0049.jpg
49,8.166667,923.000,495.979,197.043,1,0.119263,-2.862,-1.248,frame12_0050.jpg
50,8.333333,929.354,521.266,198.583,1,0.118338,-2.088,1.754,frame12_0051.jpg
51,8.500000,940.000,530.060,203.726,1,0.115351,-0.807,2.724,frame12_0052.jpg
52,8.666667,944.736,526.413,200.935,1,0.116953,-0.265,2.335,frame12_0053.jpg
53,8.833333,936.711,496.439,198.639,1,0.118305,-1.217,-1.184,frame12_0054.jpg
54,9.000000,925.530,479.539,200.620,1,0.117137,-2.515,-3.152,frame12_0055.jpg
55,9.166667,922.500,491.905,199.937,1,0.117537,-2.880,-1.709,frame12_0056.jpg
56,9.333333,933.938,530.086,203.068,1,0.115725,-1.512,2.736,frame12_0057.jpg
57,9.500000,940.000,532.630,206.032,1,0.114060,-0.798,2.987,frame12_0058.jpg
58,9.666667,929.500,512.776,197.415,1,0.119039,-2.083,0.754,frame12_0059.jpg
59,9.833333,915.960,494.185,196.598,1,0.119533,-3.710,-1.465,frame12_0060.jpg
60,10.000000,906.500,505.355,198.658,1,0.118294,-4.791,-0.129,frame12_0061.jpg
61,10.166667,906.050,529.791,203.208,1,0.115645,-4.736,2.700,frame12_0062.jpg
62,10.333333,913.137,529.389,202.094,1,0.116282,-3.938,2.668,frame12_0063.jpg
63,10.500000,922.605,517.284,198.087,1,0.118635,-2.894,1.286,frame12_0064.jpg
64,10.666667,922.415,507.720,198.631,1,0.118310,-2.909,0.151,frame12_0065.jpg
65,10.833333,914.947,510.235,199.855,1,0.117585,-3.769,0.446,frame12_0066.jpg
66,11.000000,916.404,520.535,200.966,1,0.116935,-3.578,1.648,frame12_0067.jpg
67,11.166667,921.721,521.345,201.370,1,0.116701,-2.950,1.739,frame12_0068.jpg
68,11.333333,922.785,523.227,199.860,1,0.117582,-2.847,1.973,frame12_0069.jpg
69,11.500000,914.573,523.164,196.945,1,0.119322,-3.869,1.995,frame12_0070.jpg
70,11.666667,896.063,516.099,196.527,1,0.119576,-6.091,1.154,frame12_0071.jpg
71,11.833333,883.000,510.812,197.221,1,0.119155,-7.626,0.520,frame12_0072.jpg
72,12.000000,880.000,511.979,199.442,1,0.117829,-7.895,0.652,frame12_0073.jpg
73,12.166667,897.240,520.156,199.535,1,0.117774,-5.860,1.615,frame12_0074.jpg
