index,time_s,x_px,y_px,radius_px,found,mm_per_px,x_mm,y_mm,frame_file
0,0.000000,898.000,527.572,197.351,1,0.119077,0.000,0.000,frame12_0001.jpg
1,0.166667,943.000,509.187,194.758,1,0.120662,5.430,-2.218,frame12_0002.jpg
2,0.333333,921.500,516.500,193.852,1,0.121227,2.849,-1.342,frame12_0003.jpg
3,0.500000,925.000,533.899,201.458,1,0.116649,3.150,0.738,frame12_0004.jpg
4,0.666667,963.000,507.890,200.966,1,0.116935,7.601,-2.302,frame12_0005.jpg
5,0.833333,932.922,506.594,196.899,1,0.119350,4.168,-2.504,frame12_0006.jpg
6,1.000000,940.000,534.004,203.085,1,0.115715,4.860,0.744,frame12_0007.jpg
7,1.166667,854.500,524.271,206.002,1,0.114076,-4.962,-0.377,frame12_0008.jpg
8,1.333333,929.500,494.890,206.689,1,0.113697,3.581,-3.716,frame12_0009.jpg
9,1.500000,905.610,499.705,200.618,1,0.117138,0.891,-3.264,frame12_0010.jpg
10,1.666667,953.000,522.071,197.190,1,0.119175,6.555,-0.656,frame12_0011.jpg
11,1.833333,972.500,529.375,205.483,1,0.114365,8.520,0.206,frame12_0012.jpg
12,2.000000,899.622,511.860,196.191,1,0.119781,0.194,-1.882,frame12_0013.jpg
13,2.166667,924.205,510.406,196.807,1,0.119406,3.129,-2.050,frame12_0014.jpg
14,2.333333,928.000,501.098,200.345,1,0.117298,3.519,-3.105,frame12_0015.jpg
15,2.500000,946.500,526.347,198.180,1,0.118579,5.751,-0.145,frame12_0016.jpg
16,2.666667,946.500,535.563,205.650,1,0.114272,5.542,0.913,frame12_0017.jpg
17,2.833333,928.500,506.200,197.784,1,0.118816,3.624,-2.539,frame12_0018.jpg
18,3.000000,939.500,499.407,203.710,1,0.115360,4.787,-3.249,frame12_0019.jpg
19,3.166667,937.500,513.963,195.320,1,0.120315,4.752,-1.637,frame12_0020.jpg
20,3.333333,917.500,498.887,201.566,1,0.116587,2.273,-3.344,frame12_0021.jpg
21,3.500000,919.500,528.718,201.166,1,0.116819,2.512,0.134,frame12_0022.jpg
22,3.666667,912.000,525.770,201.892,1,0.116399,1.630,-0.210,frame12_0023.jpg
23,3.833333,906.500,513.544,199.340,1,0.117889,1.002,-1.654,frame12_0024.jpg
24,4.000000,912.000,510.026,195.944,1,0.119932,1.679,-2.104,frame12_0025.jpg
25,4.166667,928.000,520.042,194.961,1,0.120537,3.616,-0.908,frame12_0026.jpg
26,4.333333,937.000,528.860,197.712,1,0.118860,4.636,0.153,frame12_0027.jpg
27,4.500000,941.500,526.805,196.349,1,0.119685,5.206,-0.092,frame12_0028.jpg
28,4.666667,948.000,516.500,196.757,1,0.119437,5.972,-1.322,frame12_0029.jpg
29,4.833333,958.500,508.380,199.220,1,0.117960,7.137,-2.264,frame12_0030.jpg
30,5.000000,967.500,509.568,200.740,1,0.117067,8.136,-2.108,frame12_0031.jpg
31,5.166667,962.500,519.001,198.914,1,0.118141,7.620,-1.013,frame12_0032.jpg
32,5.333333,948.230,528.747,199.446,1,0.117827,5.918,0.138,frame12_0033.jpg
33,5.500000,924.057,524.227,198.421,1,0.118435,3.086,-0.396,frame12_0034.jpg
34,5.666667,898.000,511.257,198.355,1,0.118474,-0.000,-1.933,frame12_0035.jpg
35,5.833333,885.000,507.083,198.799,1,0.118210,-1.537,-2.422,frame12_0036.jpg
36,6.000000,876.710,501.226,202.817,1,0.115868,-2.467,-3.053,frame12_0037.jpg
37,6.166667,873.568,503.514,202.609,1,0.115987,-2.834,-2.790,frame12_0038.jpg
38,6.333333,889.299,512.169,203.884,1,0.115261,-1.003,-1.775,frame12_0039.jpg
39,6.500000,908.399,525.059,203.213,1,0.115642,1.203,-0.291,frame12_0040.jpg
40,6.666667,921.247,525.946,198.411,1,0.118441,2.753,-0.193,frame12_0041.jpg
41,6.833333,927.500,502.939,198.458,1,0.118413,3.493,-2.917,frame12_0042.jpg
42,7.000000,930.000,498.771,202.902,1,0.115820,3.706,-3.336,frame12_0043.jpg
43,7.166667,946.000,508.959,196.738,1,0.119448,5.734,-2.223,frame12_0044.jpg
44,7.333333,959.115,526.730,199.616,1,0.117726,7.195,-0.099,frame12_0045.jpg
45,7.500000,965.500,524.214,199.106,1,0.118028,7.967,-0.396,frame12_0046.jpg
46,7.666667,965.000,509.531,199.998,1,0.117501,7.873,-2.120,frame12_0047.jpg
47,7.833333,957.500,497.552,209.398,1,0.112226,6.677,-3.369,frame12_0048.jpg
48,8.000000,959.500,498.549,208.956,1,0.112464,6.917,-3.264,frame12_0049.jpg
49,8.166667,969.000,511.153,200.048,1,0.117472,8.340,-1.929,frame12_0050.jpg
50,8.333333,970.500,530.004,206.085,1,0.114031,8.267,0.277,frame12_0051.jpg
51,8.500000,948.000,525.267,198.413,1,0.118440,5.922,-0.273,frame12_0052.jpg
52,8.666667,927.500,500.617,200.763,1,0.117053,3.453,-3.155,frame12_0053.jpg
53,8.833333,926.500,493.271,207.950,1,0.113008,3.221,-3.876,frame12_0054.jpg
54,9.000000,940.000,500.248,202.970,1,0.115781,4.863,-3.164,frame12_0055.jpg
55,9.166667,950.000,529.628,200.656,1,0.117116,6.090,0.241,frame12_0056.jpg
56,9.333333,943.500,531.010,200.823,1,0.117018,5.324,0.402,frame12_0057.jpg
57,9.500000,924.000,503.748,197.372,1,0.119064,3.096,-2.837,frame12_0058.jpg
58,9.666667,907.000,495.349,204.896,1,0.114693,1.032,-3.696,frame12_0059.jpg
59,9.833333,908.784,501.124,199.708,1,0.117672,1.269,-3.112,frame12_0060.jpg
60,10.000000,928.500,522.312,200.323,1,0.117311,3.578,-0.617,frame12_0061.jpg
61,10.166667,926.500,519.933,201.981,1,0.116348,3.316,-0.889,frame12_0062.jpg
62,10.333333,921.250,510.243,202.170,1,0.116239,2.703,-2.014,frame12_0063.jpg
63,10.500000,922.000,500.674,200.536,1,0.117186,2.812,-3.152,frame12_0064.jpg
64,10.666667,928.494,507.949,198.838,1,0.118187,3.604,-2.319,frame12_0065.jpg
65,10.833333,944.500,517.064,196.051,1,0.119867,5.574,-1.260,frame12_0066.jpg
66,11.000000,947.500,515.764,195.533,1,0.120184,5.949,-1.419,frame12_0067.jpg
67,11.166667,945.500,512.928,196.307,1,0.119711,5.686,-1.753,frame12_0068.jpg
68,11.333333,949.000,508.980,197.205,1,0.119165,6.077,-2.216,frame12_0069.jpg
69,11.500000,963.000,508.947,199.956,1,0.117526,7.639,-2.189,frame12_0070.jpg
70,11.666667,972.000,511.518,200.374,1,0.117281,8.679,-1.883,frame12_0071.jpg
71,11.833333,963.000,524.059,198.543,1,0.118362,7.694,-0.416,frame12_0072.jpg
72,12.000000,941.500,526.647,197.437,1,0.119025,5.178,-0.110,frame12_0073.jpg
73,12.166667,919.500,504.402,196.211,1,0.119769,2.575,-2.775,frame12_0074.jpg
74,12.333333,914.500,498.789,201.485,1,0.116634,1.924,-3.357,frame12_0075.jpg
75,12.500000,929.000,511.087,196.479,1,0.119606,3.708,-1.972,frame12_0076.jpg
76,12.666667,938.500,531.508,200.404,1,0.117263,4.749,0.462,frame12_0077.jpg
77,12.833333,947.240,528.952,199.275,1,0.117927,5.807,0.163,frame12_0078.jpg
78,13.000000,949.500,505.813,199.912,1,0.117552,6.054,-2.558,frame12_0079.jpg
79,13.166667,937.000,496.696,205.965,1,0.114097,4.450,-3.523,frame12_0080.jpg
80,13.333333,925.046,501.199,199.912,1,0.117552,3.179,-3.100,frame12_0081.jpg
81,13.500000,913.479,529.845,200.196,1,0.117385,1.817,0.267,frame12_0082.jpg
82,13.666667,917.216,531.359,198.771,1,0.118226,2.272,0.448,frame12_0083.jpg
83,13.833333,924.717,512.740,197.033,1,0.119270,3.186,-1.769,frame12_0084.jpg
84,14.000000,927.500,504.099,197.427,1,0.119032,3.511,-2.794,frame12_0085.jpg
85,14.166667,936.500,513.296,197.861,1,0.118770,4.573,-1.696,frame12_0086.jpg
86,14.333333,941.520,518.675,200.056,1,0.117467,5.112,-1.045,frame12_0087.jpg
87,14.500000,950.500,520.252,200.797,1,0.117033,6.144,-0.857,frame12_0088.jpg
