index,time_s,x_px,y_px,radius_px,found,mm_per_px,x_mm,y_mm,frame_file
0,0.000000,901.732,608.674,226.047,1,0.103961,0.000,0.000,frame12_0001.jpg
1,0.166667,986.000,613.500,11.236,1,2.091454,176.242,10.093,frame12_0002.jpg
2,0.333333,896.000,697.500,13.238,1,1.775152,-10.176,157.680,frame12_0003.jpg
3,0.500000,826.000,461.500,30.761,1,0.763947,-57.856,-112.433,frame12_0004.jpg
4,0.666667,844.000,545.500,15.532,1,1.512974,-87.348,-95.581,frame12_0005.jpg
5,0.833333,995.000,571.333,192.530,1,0.122059,11.384,-4.558,frame12_0006.jpg
6,1.000000,1009.282,566.327,190.779,1,0.123179,13.248,-5.216,frame12_0007.jpg
7,1.166667,827.500,526.000,10.736,1,2.188988,-162.494,-180.972,frame12_0008.jpg
8,1.333333,816.125,495.750,12.302,1,1.910313,-163.537,-215.720,frame12_0009.jpg
9,1.500000,805.500,553.500,194.480,1,0.120835,-11.628,-6.667,frame12_0010.jpg
10,1.666667,901.344,615.698,222.329,1,0.105699,-0.041,0.742,frame12_0011.jpg
11,1.833333,1007.000,561.000,196.573,1,0.119548,12.585,-5.699,frame12_0012.jpg
12,2.000000,763.000,437.000,80.623,1,0.291481,-40.438,-50.040,frame12_0013.jpg
13,2.166667,851.912,677.500,9.102,1,2.581826,-128.628,177.697,frame12_0014.jpg
14,2.333333,815.500,412.500,16.447,1,1.428833,-123.212,-280.300,frame12_0015.jpg
15,2.500000,775.500,672.000,98.647,1,0.238223,-30.071,15.086,frame12_0016.jpg
16,2.666667,902.203,608.882,226.354,1,0.103819,0.049,0.022,frame12_0017.jpg
17,2.833333,1001.500,565.833,194.483,1,0.120833,12.055,-5.177,frame12_0018.jpg
18,3.000000,876.000,727.000,12.166,1,1.931672,-49.707,228.567,frame12_0019.jpg
19,3.166667,748.000,426.000,62.242,1,0.377561,-58.043,-68.971,frame12_0020.jpg
20,3.333333,965.500,629.500,10.124,1,2.321142,148.013,48.340,frame12_0021.jpg
21,3.500000,975.346,611.346,10.609,1,2.215114,163.063,5.919,frame12_0022.jpg
22,3.666667,981.474,597.816,9.934,1,2.365648,188.640,-25.687,frame12_0023.jpg
23,3.833333,984.000,603.825,11.540,1,2.036308,167.522,-9.874,frame12_0024.jpg
24,4.000000,1028.000,561.000,188.810,1,0.124464,15.716,-5.934,frame12_0025.jpg
25,4.166667,977.643,687.929,10.413,1,2.256902,171.322,178.870,frame12_0026.jpg
26,4.333333,995.500,566.500,196.572,1,0.119549,11.210,-5.042,frame12_0027.jpg
27,4.500000,762.500,447.500,87.912,1,0.267313,-37.219,-43.084,frame12_0028.jpg
28,4.666667,893.000,701.500,11.885,1,1.977288,-17.267,183.544,frame12_0029.jpg
29,4.833333,767.500,684.000,84.589,1,0.277815,-37.292,20.927,frame12_0030.jpg
30,5.000000,747.500,682.500,72.308,1,0.324997,-50.125,23.993,frame12_0031.jpg
31,5.166667,776.000,460.000,106.217,1,0.221245,-27.818,-32.893,frame12_0032.jpg
32,5.333333,754.500,440.500,77.398,1,0.303624,-44.703,-51.062,frame12_0033.jpg
33,5.500000,752.500,429.500,67.886,1,0.346168,-51.660,-62.024,frame12_0034.jpg
34,5.666667,772.500,430.000,83.410,1,0.281740,-36.410,-50.340,frame12_0035.jpg
35,5.833333,776.500,426.500,84.750,1,0.277287,-34.725,-50.514,frame12_0036.jpg
36,6.000000,842.334,565.666,206.590,1,0.113752,-6.757,-4.892,frame12_0037.jpg
37,6.166667,795.910,682.500,98.341,1,0.238965,-25.288,17.642,frame12_0038.jpg
38,6.333333,1002.000,567.500,191.902,1,0.122458,12.279,-5.042,frame12_0039.jpg
39,6.500000,894.500,599.000,236.800,1,0.099240,-0.718,-0.960,frame12_0040.jpg
40,6.666667,996.500,569.000,192.977,1,0.121776,11.540,-4.831,frame12_0041.jpg
41,6.833333,901.336,607.119,226.473,1,0.103765,-0.041,-0.161,frame12_0042.jpg
42,7.000000,771.500,435.500,84.726,1,0.277364,-36.122,-48.032,frame12_0043.jpg
43,7.166667,900.894,615.108,222.209,1,0.105757,-0.089,0.680,frame12_0044.jpg
44,7.333333,901.005,613.099,223.262,1,0.105257,-0.077,0.466,frame12_0045.jpg
45,7.500000,1002.510,565.138,193.825,1,0.121243,12.219,-5.279,frame12_0046.jpg
46,7.666667,1020.500,561.000,191.207,1,0.122903,14.597,-5.859,frame12_0047.jpg
47,7.833333,874.500,561.000,180.666,1,0.130074,-3.542,-6.201,frame12_0048.jpg
48,8.000000,902.013,612.332,224.514,1,0.104670,0.029,0.383,frame12_0049.jpg
49,8.166667,997.500,564.000,197.892,1,0.118752,11.373,-5.305,frame12_0050.jpg
50,8.333333,818.002,567.629,189.701,1,0.123879,-10.373,-5.085,frame12_0051.jpg
51,8.500000,994.500,571.725,192.422,1,0.122127,11.329,-4.512,frame12_0052.jpg
52,8.666667,1023.000,667.000,9.434,1,2.490969,302.074,145.288,frame12_0053.jpg
53,8.833333,1041.000,653.500,8.201,1,2.865605,399.086,128.454,frame12_0054.jpg
54,9.000000,1049.000,643.000,8.602,1,2.731788,402.304,93.771,frame12_0055.jpg
55,9.166667,1044.500,632.000,8.732,1,2.691181,384.213,62.775,frame12_0056.jpg
56,9.333333,1036.500,607.000,8.322,1,2.823922,380.573,-4.727,frame12_0057.jpg
57,9.500000,1034.000,588.000,8.062,1,2.914780,385.531,-60.260,frame12_0058.jpg
58,9.666667,1038.000,597.000,7.810,1,3.008828,410.005,-35.125,frame12_0059.jpg
59,9.833333,1041.000,634.500,8.559,1,2.745737,382.392,70.912,frame12_0060.jpg
60,10.000000,901.580,611.440,224.564,1,0.104647,-0.016,0.289,frame12_0061.jpg
61,10.166667,997.500,564.500,196.999,1,0.119290,11.424,-5.270,frame12_0062.jpg
62,10.333333,817.508,568.424,188.769,1,0.124491,-10.485,-5.011,frame12_0063.jpg
63,10.500000,902.866,596.858,233.056,1,0.100834,0.114,-1.191,frame12_0064.jpg
64,10.666667,1007.000,561.000,196.573,1,0.119548,12.585,-5.699,frame12_0065.jpg
65,10.833333,1002.000,568.500,191.865,1,0.122482,12.281,-4.921,frame12_0066.jpg
66,11.000000,902.149,609.870,225.824,1,0.104064,0.043,0.124,frame12_0067.jpg
67,11.166667,760.500,436.000,78.136,1,0.300757,-42.477,-51.933,frame12_0068.jpg
68,11.333333,1003.500,561.000,198.006,1,0.118683,12.078,-5.658,frame12_0069.jpg
69,11.500000,986.500,561.000,205.670,1,0.114261,9.686,-5.447,frame12_0070.jpg
70,11.666667,980.500,561.000,208.135,1,0.112907,8.893,-5.383,frame12_0071.jpg
71,11.833333,983.000,561.000,206.400,1,0.113856,9.253,-5.428,frame12_0072.jpg
72,12.000000,983.500,561.000,206.156,1,0.113991,9.321,-5.434,frame12_0073.jpg
73,12.166667,768.000,423.000,75.717,1,0.310368,-41.506,-57.627,frame12_0074.jpg
74,12.333333,1010.500,649.000,29.517,1,0.796150,86.595,32.106,frame12_0075.jpg
75,12.500000,770.500,675.000,92.985,1,0.252728,-33.166,16.762,frame12_0076.jpg
76,12.666667,865.000,566.500,178.380,1,0.131742,-4.839,-5.556,frame12_0077.jpg
77,12.833333,901.272,608.277,225.843,1,0.104055,-0.048,-0.041,frame12_0078.jpg
78,13.000000,815.962,564.353,191.151,1,0.122940,-10.545,-5.449,frame12_0079.jpg
79,13.166667,995.000,565.918,197.319,1,0.119096,11.108,-5.092,frame12_0080.jpg
80,13.333333,885.000,722.500,13.238,1,1.775152,-29.703,202.059,frame12_0081.jpg
81,13.500000,1005.000,563.500,195.108,1,0.120446,12.438,-5.441,frame12_0082.jpg
82,13.666667,964.000,685.500,11.413,1,2.059089,128.214,158.192,frame12_0083.jpg
83,13.833333,984.000,645.000,10.817,1,2.172556,178.731,78.920,frame12_0084.jpg
84,14.000000,1000.000,615.000,8.602,1,2.731788,268.446,17.281,frame12_0085.jpg
85,14.166667,1019.500,561.000,191.547,1,0.122685,14.448,-5.849,frame12_0086.jpg
86,14.333333,1005.500,562.258,195.220,1,0.120377,12.491,-5.587,frame12_0087.jpg
87,14.500000,901.331,607.219,226.419,1,0.103790,-0.042,-0.151,frame12_0088.jpg
88,14.666667,777.000,443.500,95.343,1,0.246479,-30.744,-40.712,frame12_0089.jpg
89,14.833333,990.000,523.000,8.944,1,2.627350,231.910,-225.096,frame12_0090.jpg
90,15.000000,764.500,441.000,84.500,1,0.278106,-38.165,-46.631,frame12_0091.jpg
91,15.166667,901.310,607.594,226.214,1,0.103884,-0.044,-0.112,frame12_0092.jpg
92,15.333333,1028.000,577.500,8.201,1,2.865605,361.833,-89.332,frame12_0093.jpg
93,15.500000,901.763,608.124,226.344,1,0.103824,0.003,-0.057,frame12_0094.jpg
94,15.666667,1001.500,564.000,196.136,1,0.119815,11.954,-5.353,frame12_0095.jpg
95,15.833333,998.000,563.500,198.117,1,0.118617,11.419,-5.358,frame12_0096.jpg
96,16.000000,987.857,690.762,9.311,1,2.523850,217.366,207.178,frame12_0097.jpg
97,16.166667,1004.000,570.000,189.645,1,0.123916,12.673,-4.792,frame12_0098.jpg
98,16.333333,1008.500,572.500,185.468,1,0.126706,13.528,-4.583,frame12_0099.jpg
99,16.500000,901.754,608.290,226.255,1,0.103865,0.002,-0.040,frame12_0100.jpg
100,16.666667,1002.000,561.000,197.798,1,0.118808,11.913,-5.664,frame12_0101.jpg
101,16.833333,998.500,562.000,198.372,1,0.118465,11.464,-5.529,frame12_0102.jpg
102,17.000000,901.271,608.292,225.834,1,0.104059,-0.048,-0.040,frame12_0103.jpg
103,17.166667,1017.500,561.000,191.891,1,0.122465,14.177,-5.838,frame12_0104.jpg
104,17.333333,1017.500,561.000,191.891,1,0.122465,14.177,-5.838,frame12_0105.jpg
105,17.500000,993.500,568.972,194.381,1,0.120897,11.094,-4.800,frame12_0106.jpg
106,17.666667,779.500,447.000,99.530,1,0.236109,-28.860,-38.173,frame12_0107.jpg
107,17.833333,772.500,440.000,89.651,1,0.262128,-33.875,-44.214,frame12_0108.jpg
108,18.000000,765.000,436.500,81.733,1,0.287522,-39.314,-49.504,frame12_0109.jpg
109,18.166667,766.500,449.000,91.686,1,0.256310,-34.661,-40.926,frame12_0110.jpg
110,18.333333,995.500,567.622,195.576,1,0.120158,11.267,-4.933,frame12_0111.jpg
111,18.500000,998.500,561.000,200.141,1,0.117417,11.362,-5.598,frame12_0112.jpg
112,18.666667,1012.500,561.000,194.428,1,0.120867,13.388,-5.762,frame12_0113.jpg
113,18.833333,1022.500,561.000,190.872,1,0.123119,14.869,-5.870,frame12_0114.jpg
114,19.000000,1001.500,563.413,196.238,1,0.119753,11.947,-5.420,frame12_0115.jpg
115,19.166667,901.666,609.880,225.397,1,0.104260,-0.007,0.126,frame12_0116.jpg
116,19.333333,967.500,445.000,8.078,1,2.909191,191.330,-476.159,frame12_0117.jpg
117,19.500000,985.000,433.500,9.708,1,2.420598,201.557,-424.026,frame12_0118.jpg
118,19.666667,1003.958,434.958,8.544,1,2.750371,281.159,-477.782,frame12_0119.jpg
119,19.833333,1022.000,445.000,8.485,1,2.769469,333.077,-453.290,frame12_0120.jpg
120,20.000000,1041.812,462.125,7.215,1,3.257228,456.273,-477.343,frame12_0121.jpg
121,20.166667,1060.000,496.000,8.062,1,2.914780,461.315,-328.420,frame12_0122.jpg
122,20.333333,994.500,567.263,195.895,1,0.119962,11.129,-4.968,frame12_0123.jpg
123,20.500000,827.500,494.500,13.285,1,1.768855,-131.307,-201.957,frame12_0124.jpg
124,20.666667,842.500,476.500,28.045,1,0.837948,-49.634,-110.755,frame12_0125.jpg
125,20.833333,1006.000,568.000,190.602,1,0.123294,12.856,-5.015,frame12_0126.jpg
126,21.000000,902.297,607.190,227.271,1,0.103401,0.058,-0.153,frame12_0127.jpg
127,21.166667,1009.500,561.000,195.582,1,0.120154,12.949,-5.728,frame12_0128.jpg
128,21.333333,901.816,607.165,226.866,1,0.103585,0.009,-0.156,frame12_0129.jpg
129,21.500000,901.303,616.448,221.941,1,0.105884,-0.045,0.823,frame12_0130.jpg
130,21.666667,994.000,609.500,12.971,1,1.811703,167.161,1.497,frame12_0131.jpg
131,21.833333,998.000,606.500,30.516,1,0.770075,74.133,-1.674,frame12_0132.jpg
132,22.000000,994.500,609.500,30.373,1,0.773719,71.776,0.639,frame12_0133.jpg
133,22.166667,996.500,613.500,16.508,1,1.423580,134.909,6.870,frame12_0134.jpg
134,22.333333,901.736,608.604,226.085,1,0.103943,0.000,-0.007,frame12_0135.jpg
135,22.500000,998.000,564.312,196.945,1,0.119322,11.487,-5.293,frame12_0136.jpg
136,22.666667,771.500,447.000,93.692,1,0.250821,-32.665,-40.551,frame12_0137.jpg
137,22.833333,767.000,444.000,88.391,1,0.265863,-35.820,-43.781,frame12_0138.jpg
138,23.000000,902.330,606.585,227.601,1,0.103251,0.062,-0.216,frame12_0139.jpg
139,23.166667,999.500,562.000,198.805,1,0.118206,11.557,-5.517,frame12_0140.jpg
140,23.333333,1021.500,640.500,10.701,1,2.196145,263.027,69.895,frame12_0141.jpg
141,23.500000,1051.665,602.392,8.711,1,2.697784,404.487,-16.947,frame12_0142.jpg
142,23.666667,1070.848,575.717,7.936,1,2.961331,500.806,-97.595,frame12_0143.jpg
143,23.833333,1068.000,565.000,8.062,1,2.914780,484.633,-127.300,frame12_0144.jpg
144,24.000000,1042.571,548.000,7.457,1,3.151209,443.813,-191.196,frame12_0145.jpg
145,24.166667,1019.500,515.000,7.018,1,3.348564,394.352,-313.673,frame12_0146.jpg
146,24.333333,1012.500,511.000,7.433,1,3.161520,350.194,-308.798,frame12_0147.jpg
147,24.500000,895.500,595.500,239.709,1,0.098035,-0.611,-1.292,frame12_0148.jpg
148,24.666667,748.500,712.500,52.005,1,0.451880,-69.243,46.917,frame12_0149.jpg
149,24.833333,981.500,561.000,207.138,1,0.113451,9.050,-5.409,frame12_0150.jpg
150,25.000000,795.500,691.000,103.394,1,0.227286,-24.145,18.712,frame12_0151.jpg
151,25.166667,758.500,432.000,73.914,1,0.317937,-45.539,-56.171,frame12_0152.jpg
152,25.333333,788.500,460.500,115.293,1,0.203828,-23.080,-30.202,frame12_0153.jpg
153,25.500000,805.500,458.500,125.102,1,0.187847,-18.077,-28.210,frame12_0154.jpg
154,25.666667,778.500,454.500,103.945,1,0.226082,-27.861,-34.856,frame12_0155.jpg
155,25.833333,770.500,455.000,98.824,1,0.237795,-31.206,-36.543,frame12_0156.jpg
156,26.000000,768.000,470.500,109.450,1,0.214710,-28.714,-29.667,frame12_0157.jpg
157,26.166667,777.964,529.783,8.448,1,2.781595,-344.274,-219.442,frame12_0158.jpg
158,26.333333,800.045,522.045,10.009,1,2.347795,-238.740,-203.386,frame12_0159.jpg
159,26.500000,808.346,527.346,10.674,1,2.201612,-205.600,-179.052,frame12_0160.jpg
160,26.666667,808.875,542.562,9.504,1,2.472535,-229.593,-163.463,frame12_0161.jpg
161,26.833333,1005.877,562.914,194.873,1,0.120592,12.559,-5.518,frame12_0162.jpg
162,27.000000,994.500,570.997,192.591,1,0.122020,11.320,-4.597,frame12_0163.jpg
163,27.166667,1033.500,561.000,187.223,1,0.125519,16.539,-5.984,frame12_0164.jpg
164,27.333333,1006.000,562.000,195.658,1,0.120108,12.523,-5.606,frame12_0165.jpg
165,27.500000,1061.134,670.052,74.855,1,0.313942,50.043,19.269,frame12_0166.jpg
166,27.666667,1008.000,563.500,193.482,1,0.121458,12.907,-5.487,frame12_0167.jpg
167,27.833333,899.006,563.386,199.566,1,0.117755,-0.321,-5.333,frame12_0168.jpg
